===== ranking_results/ranking_results (7).txt =====
md file name: /content/validation/MAR-17-352-01 HatMan - Safety System Targeted Malware (Update B).md

md file name: /content/validation/KillDisk Variant Hits Latin American Finance Industry _ Trend Micro (US).md

md file name: /content/validation/Malware Shuts Down German Nuclear Power Plant on Chernobyl's 30th Anniversary.md

md file name: /content/validation/joint-advisory-shows-new-sandworm-malware-cyclops-blink-replaces-vpnfilter.md

md file name: /content/validation/KillDisk Variant Hits Latin American Financial Groups _ Trend Micro (US).md

md file name: /content/validation/Win32_Industroyer.md

===== ranking_results/ranking_results (8).txt =====
md file name: /content/validation/MAR-17-352-01 HatMan - Safety System Targeted Malware (Update B).md

md file name: /content/validation/KillDisk Variant Hits Latin American Financial Groups _ Trend Micro (US).md

md file name: /content/validation/joint-advisory-shows-new-sandworm-malware-cyclops-blink-replaces-vpnfilter.md

md file name: /content/validation/Win32_Industroyer.md

md file name: /content/validation/KillDisk Variant Hits Latin American Finance Industry _ Trend Micro (US).md

md file name: /content/validation/Malware Shuts Down German Nuclear Power Plant on Chernobyl's 30th Anniversary.md

===== ranking_results/ranking_results _first.txt =====
md file name: /content/validation/2010-071400-3123-99.md

| 1 | `Symdiag tool` → `Mentioned` | CORRECT | It's a generic tool name that cannot be used directly for automated detection. |
| 17 | Cookiebot → Described | CORRECT | Although “Cookiebot” is a known product name, its use in this context is ambiguous and thus appropriately marked as described. |
| 18 | pk_key → Described | CORRECT | As only a registry value name without a full key path, “pk_key” is too generic to serve as an actionable artifact. |
| 19 | sub_key → Described | CORRECT | “sub_key” is a generic identifier for an encryption key and requires further contextual enrichment for detection. |
| 20 | sk_key → Described | CORRECT | Being merely the name of a registry key value, “sk_key” is ambiguous and fits the described category. |
| 21 | 0_key → Described | CORRECT | “0_key” is a short, ambiguous registry value name that does not provide a unique artifact for automated detection. |
| 22 | public skeleton key → Described | CORRECT | This label is a descriptive identifier for a hardcoded key rather than a precise, actionable key value. |
| 23 | ECIES algorithm → Mentioned | CORRECT | It is a conceptual reference to an encryption algorithm, which is not directly actionable. |
| 24 | Curve25519 elliptic curve → Mentioned | CORRECT | The mention of this cryptographic primitive is conceptual and not sufficient for direct detection. |
| 25 | SHA3-256 cryptographic hash → Mentioned | CORRECT | This is a reference to a hash algorithm rather than a specific hash value, making it only mentioned. |
| 26 | AES-256 block cipher in CFB mode → Mentioned | CORRECT | The observable only describes the cryptographic cipher and mode, serving as a conceptual reference rather than a unique indicator. |

| 27 | Fragment of the desktop wallpaper created by the ransomware → Described | CORRECT | The observable is ambiguous and requires further extraction (e.g., file hashes) before it can be directly used for detection. |

| 28 | `QUISERCENTRICS Cookiebot` → `Mentioned` | CORRECT | The string is a tool name mentioned in a cookie notice and is not a concrete, unique threat indicator.  |

| 29 | `QUISERCENTRICS Cookiebot` → `Described` | Validator output CORRECT | Rationale: The product name is mentioned in a descriptive context and is not a unique technical indicator for direct detection. |
| 30 | `oc` → `Mentioned` | Validator output CORRECT | Rationale: The token "oc" is too ambiguous and lacks sufficient specificity to be actionable. |

| 31 | `ToddyCat` → `Described` | CORRECT | A malware family name used conceptually, not as a concrete indicator for detection. |
| 32 | `Null Session` → `Mentioned` | CORRECT | It refers to a generic authentication bypass technique rather than a specific indicator. |
| 33 | `DeepSeek` → `Described` | CORRECT | As a malware family name, it serves as a descriptive label rather than a unique, actionable artifact. |
| 34 | `TookPS` → `Described` | CORRECT | It is the name of a tool extracted from context and isn’t a complete, unique identifier for detection. |
| 35 | `ClipBanker` → `Described` | CORRECT | This malware family label is descriptive and not presented as a concrete, actionable indicator. |
| 36 | `Irojan` → `Described` | CORRECT | Similar to other malware family names, it is descriptive and not directly actionable for detection. |
| 37 | `MS-RPC` → `Mentioned` | CORRECT | It is a reference to a standard protocol, providing only conceptual context and not a unique artifact. |

| 38 | QUISERCENTRICS → Mentioned | CORRECT | It’s a product name extracted from cookie banner text, which is a conceptual reference rather than a unique, actionable indicator. |
| 39 | Cookiebot → Mentioned | CORRECT | As a cookie consent management platform name, it is mentioned conceptually and not used for direct automated detection. |
| 40 | Operation ForumTroll → Mentioned | CORRECT | The campaign name is a conceptual reference that cannot be turned into a concrete detection without further context. |
| 41 | Google Chrome → Mentioned | CORRECT | Referencing a common software product as the target does not yield a unique, actionable indicator. |

md file name: /content/validation/REvil Ransomware-as-a-Service_ An analysis of a… _ Intel 471.md

| 1 | REvil → Mentioned | CORRECT | It is a malware family name, which is conceptually referenced and not a unique indicator for automated detection. |
| 2 | Sodinokibi → Mentioned | CORRECT | It is an alias for the REvil ransomware family, thus a generic reference rather than a concrete artifact. |
| 3 | Sodin → Mentioned | CORRECT | As an alias for REvil, it is only conceptually referenced and not actionable on its own. |
| 4 | Oracle WebLogic servers → Mentioned | CORRECT | The phrase is a generic product name without version specifics, which makes it non-unique for detection. |
| 5 | CVE-2019-2725 → Actionable | CORRECT | This is a complete vulnerability identifier that can be directly used for detection. |
| 6 | CVE-2018-8453 → Actionable | CORRECT | Being a full CVE identifier, it is unique and directly actionable. |
| 7 | HTTPS → Mentioned | CORRECT | "HTTPS" is a generic protocol term and not a unique artifact for concrete detection. |

| 8 | Uses a persistence mechanism. → Mentioned | CORRECT | The observable is a generic behavioral description that does not offer unique, actionable details. |
| 9 | Encrypts additional resources. → Mentioned | CORRECT | The phrase is a conceptual behavior description without specific detection parameters. |
| 10 | Supports privilege escalation. → Mentioned | CORRECT | It provides a generic behavioral indication that is not concrete enough for automated detection. |

| 11 | REvil → Mentioned | CORRECT | "REvil" is a known ransomware family name referenced conceptually rather than a specific, unique detection indicator. |
| 12 | Unknown → Mentioned | CORRECT | "Unknown" is too generic and used only as a conceptual reference to the threat actor. |
| 13 | UNKN → Mentioned | CORRECT | "UNKN" functions as an ambiguous alias and does not offer a unique indicator for detection. |
| 14 | GandCrab → Mentioned | CORRECT | "GandCrab" is a malware family name referenced in context, serving only as a conceptual marker. |
| 15 | GandGr → Mentioned | CORRECT | "GandGr" is used as an alias with no unique detection characteristics, making it appropriately mentioned. |
| 16 | version 2.1 → Mentioned | CORRECT | The version string "version 2.1" is a generic attribute and does not provide a concrete detection indicator. |
| 17 | GandCrab affiliate program → Mentioned | CORRECT | This phrase describes an affiliate program concept without offering a distinct, actionable identifier. |
| 18 | master public key → Mentioned | CORRECT | The term "master public key" is descriptive and lacks the specific key details needed for actionable detection. |

| 19 | kerberos → Described | CORRECT | It’s ambiguous—serving as both a moderator alias and a common protocol term—so additional context is required for detection. |
| 20 | lalartu → Described | CORRECT | As a threat actor alias, it isn’t directly actionable and therefore merits a "Described" rank. |
| 21 | GandCrab → Described | CORRECT | The ransomware family name is used contextually and isn’t a unique artifact suitable for direct detection. |
| 22 | REvil → Described | CORRECT | Like other ransomware family names, it provides context rather than serving as a concrete, actionable indicator. |
| 23 | U → Mentioned | CORRECT | The single-letter alias is highly ambiguous and cannot be reliably used in detection, making "Mentioned" appropriate. |

| 24 | andersongilmour[.]co[.]uk → Actionable | CORRECT | The domain is a unique, complete indicator that can be transformed trivially for matching in detection systems. |

| 25 | A .txt file with a ransom note on each directory encrypted by the ransomware. → Described | CORRECT | The description is generic and does not specify an exact, uniquely actionable file name. |
| 26 | A .bmp image in the temporary directory set as the desktop background after the encryption. → Described | CORRECT | The observable describes a generic file without a specific identifier, making it non‐actionable. |
| 27 | A registry key SOFTWARE present under either HKEY_LOCAL_MACHINE or HKEY_CURRENT_USER. → Described | CORRECT | The registry key referenced is common and ambiguous, lacking a unique identifier for direct detection. |
| 28 | An alphanumeric file extension between 5 and 10 characters in length appended to the original extension of an encrypted file. → Described | CORRECT | The observable outlines a dynamic pattern rather than a fixed, uniquely actionable string. |

| 29 | yara-req@intel471.J.com → Actionable | CORRECT | This is a complete, unique email address that can be directly matched for detection.  |

| 30 | REvil ransomware → Mentioned | CORRECT | The term generically refers to the ransomware family without a unique, actionable identifier. |
| 31 | vin32k.sys → Described | CORRECT | The file name is ambiguous (potential typo) and lacks uniqueness for direct automation, fitting a descriptive context. |
| 32 | CVE-2018-8453 → Actionable | CORRECT | The CVE identifier is complete and uniquely searchable for automated detection. |
| 33 | DestroyWindow → Mentioned | CORRECT | A common Windows API function name that is too generic for precise automated detection. |
| 34 | labs/mcafee-atr-analyzes-sodinokibi-aka-revil-ransomware-as-a-service-what-the-code-tells-us/ → Actionable | CORRECT | The specific URL path, despite lacking an explicit scheme, is unique enough to be used in detection rules. |
| 35 | REvil → Mentioned | CORRECT | As a malware family alias, it is a generic reference not suited for precise automated detection. |
| 36 | Sodinokibi → Mentioned | CORRECT | The alternate malware family name is used conceptually and lacks the specificity required for direct detection. |
| 37 | Ghidra → Mentioned | CORRECT | The reference to a widely used reverse engineering tool is conceptual and not actionable on its own. |

| 38 | REvil ransomware → Mentioned | CORRECT | It is a generic reference to a known ransomware family and not a unique, directly actionable indicator. |
| 39 | 32-bit hashes → Mentioned | CORRECT | It describes a generic technique rather than providing a specific, actionable hash value. |

| 40 | `ServicesActive` → `Actionable` | CORRECT | It is a complete hard‑coded string that can be matched exactly, making it a unique indicator for detection. |

| 41 | `void rc4_decrypt_string(BYTE *rc4_array, int rc4_key_length, int buffer_length, BYTE *out` → `Actionable` | CORRECT | The function prototype is a concrete code snippet that can be matched directly. |
| 42 | `rc4_array` → `Described` | CORRECT | The generic variable name lacks the uniqueness needed for an actionable indicator. |
| 43 | `rc4_key_offset` → `Described` | CORRECT | The variable name is ambiguous and does not provide a unique detection element. |
| 44 | `rc4_key_length` → `Described` | CORRECT | The parameter name is generic and insufficient for direct automated detection. |
| 45 | `buffer_length` → `Described` | CORRECT | The variable name is generic and context-dependent, making it non‑actionable. |
| 46 | `out_buffer` → `Described` | CORRECT | The generic nature of the variable name prevents it from being a unique identifier. |
| 47 | `RC4` → `Mentioned` | CORRECT | The reference to an encryption algorithm is conceptual and not directly actionable. |
| 48 | `REvil ransomware` → `Mentioned` | CORRECT | The malware family name is a general reference rather than a precise, matchable indicator. |

| 49 | `6953d86d09cb8ed34856b56f71421471718ea923cd12c1e72224356756db2ef1` → Actionable | CORRECT | The SHA256 hash is a complete and unique artifact that can be directly matched. |
| 50 | `372c8276ab7cad70ccf296722462d7b8727e8563c0bfe4344184e1bc3afc27fc` → Actionable | CORRECT | The SHA256 hash is a complete and unique artifact that can be directly matched. |
| 51 | `ec0c653d5e10fec936dae340bf97c88f153cc0cdf7079632a38a19c876f3c4fe` → Actionable | CORRECT | The SHA256 hash is a complete and unique artifact that can be directly matched. |
| 52 | `GetProcAddress` → Mentioned | CORRECT | The Windows API function is a common reference and not unique enough for low false‑positive detection. |
| 53 | `Global|1DE3C565-E2C-8190-7A66` → Actionable | CORRECT | The mutex name is a unique, hard‑coded identifier that can be directly used in detection. |
| 54 | `CVE-2018-8453` → Actionable | INCORRECT — should be "Described" because vulnerability identifiers require contextual enrichment and are not used directly for automated detection. | CVE strings, while complete, serve as references needing further lookup rather than driving low‑false‑positive detection. |
| 55 | `.vhwfq9` → Actionable | CORRECT | The unique PE section name is an exact and specific identifier that can be directly matched. |
| 56 | `jon -parser` → Described | CORRECT | The software/tool name is descriptive and ambiguous, making it unsuitable for direct detection without enrichment. |
| 57 | `hxxp://aplebzu47wgazapdqks6vrcv6zcnjppkbxbr6wketf56nf6aq2nmyoyd[.]onion/{UID}` → Actionable | INCORRECT — should be "Described" because the URL contains a placeholder, so it isn’t a concrete, matchable artifact. | The presence of "{UID}" makes the URL a template requiring further enrichment before it can drive automated detection. |

| 58 | `.g19b9wy` → `Actionable` | CORRECT | The file extension is a specific, exact string that can be directly matched to detect REvil-encrypted files. |
| 59 | `8100F233BC097E90` → `Actionable` | CORRECT | The hardware identifier is a complete hex string that can be precisely used for detection. |
| 60 | `Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz.` → `Described` | CORRECT | The CPU model information is non‑unique and serves only for descriptive purposes rather than direct detection. |
| 61 | `{ "ver":"8d", # REvil's version: hard coded to 0x200 (v2.00). "pid":"%s", # ... "ext":"%s" }` → `Described` | CORRECT | The JSON configuration template contains placeholders, making it insufficient for direct, actionable detection.

| 62 | Romanian → Mentioned | CORRECT | Keyboard layout names are generic and not unique enough for automated detection. |
| 63 | Russian → Mentioned | CORRECT | Keyboard layouts are generic identifiers, making them conceptually referenced. |
| 64 | Ukrainian → Mentioned | CORRECT | Generic language names in malware configuration are non‑unique and not directly actionable. |
| 65 | Belarusian → Mentioned | CORRECT | As a common keyboard layout, it is used conceptually rather than as a precise indicator. |
| 66 | Estonian → Mentioned | CORRECT | Generic keyboard layout identifiers are naturally non‐unique and thus only mentioned. |
| 67 | l atvian → Mentioned | CORRECT | Despite the typo, it remains a generic keyboard layout entry not suited for direct detection. |
| 68 | I ithunning → Mentioned | CORRECT | The observable is a textual keyboard layout entry and is only conceptually referenced. |
| 69 | Skip to content → Mentioned | CORRECT | Even though non‑standard, this entry is a generic reference and not intended for actionable matching. |
| 70 | . Kyrgyz → Mentioned | CORRECT | Punctuation aside, it’s a generic keyboard layout entry with no unique characteristics. |
| 71 | Turkmen → Mentioned | CORRECT | As a language entry, it is too generic for direct detection and is thus only mentioned. |
| 72 | Uzbek → Mentioned | CORRECT | The generic nature of the language designation renders it conceptually referenced. |
| 73 | Tatar → Mentioned | CORRECT | A common keyboard layout string that cannot be uniquely detected, making it merely mentioned. |
| 74 | memtas → Actionable | CORRECT | This unique service name is specific enough to be matched directly in detection systems. |
| 75 | crm → Described | CORRECT | Being a generic abbreviation, it requires additional context before it can be reliably detected. |
| 76 | quickbooks → Described | CORRECT | The term is generic and widely used, necessitating further enrichment for detection. |
| 77 | svc$ → Actionable | CORRECT | Its distinctive formation, including the special character, makes it suitable for exact matching. |
| 78 | mepocs → Actionable | CORRECT | As a unique service name from the malware configuration, it is directly actionable. |
| 79 | exchange → Described | CORRECT | A common service name like “exchange” is ambiguous and not unique enough for automated detection. |
| 80 | pos "sql" → Described | CORRECT | The embedded quotes and potential ambiguity suggest it requires further context before use in detection. |
| 81 | backup → Described | CORRECT | A generic term that is likely found in benign contexts, thus it is not directly actionable. |
| 82 | qb → Described | CORRECT | The abbreviated nature makes it too generic and ambiguous for precise automated matching. |
| 83 | sophos → Described | CORRECT | Although referencing a known antivirus, the term is generic and common, limiting its detection value. |
| 84 | sage → Described | CORRECT | This common service name is ambiguous and can lead to false positives if used directly for detection. |
| 85 | /3wp → Actionable | CORRECT | Its unique and complete form as a process name allows for exact matching in detections. |
| 86 | thunderbird → Described | CORRECT | As a widely recognized process name, it is generic and not sufficiently unique for actionable use. |
| 87 | mydesktopqos → Actionable | CORRECT | This distinct process name can be directly leveraged for precise automated detection. |
| 88 | outlook → Described | CORRECT | Being a common process name, it requires additional context to avoid false positives in detection. |
| 89 | srv → Described | CORRECT | Its ambiguity and brevity make it unsuitable as a unique, directly actionable indicator. |
| 90 | infopath → Described | CORRECT | This common Microsoft process name is too generic to be used on its own for detection. |
| 91 | ms "ocautoupds" → Described | INCORRECT — should be "Actionable" because it's a complete and unique process name that can be directly matched. | Despite the embedded quotes, the string is specific and rare enough to drive automated detection. |
| 92 | cmd.exe /c vssadmin.exe Delete Shadows /All /Quiet & bcdedit} recoveryenabled No & bcdedit /set bootstatuspolicy ignoreallfailures → Actionable | CORRECT | As a full command line, it is unique and detailed enough to be used directly in detection systems. |

| 93 | `Get-WmiObject Win32_Shadowcopy | ForEach-Object {$_.Delete();}` → `Actionable` | CORRECT | The observable is a complete PowerShell command snippet that can be matched as-is. |
| 94 | `REvil` → `Mentioned` | CORRECT | It is a malware family name referenced conceptually and isn’t a unique, directly matchable artifact. |
| 95 | `-full` → `Actionable` | CORRECT | The exact command‐line argument is a distinct string used to trigger full encryption mode. |
| 96 | `-fast` → `Actionable` | CORRECT | This command‐line flag is an exact, unique argument used in the ransomware’s behavior. |
| 97 | `-path` → `Actionable` | CORRECT | In this context the argument uniquely specifies the encryption directory, making it directly matchable. |
| 98 | `-nolan` → `Actionable` | CORRECT | It is a precise command‐line argument that instructs the malware to avoid shared network storage, hence actionable. |
| 99 | `-nolocal` → `Actionable` | CORRECT | The argument clearly indicates exclusion of local storage and qualifies as a directly detectible artifact. |
| 100 | `O` → `Described` | CORRECT | The single-letter encryption type value is ambiguous without context and thus requires further interpretation. |
| 101 | `2` → `Described` | CORRECT | The numeric value is too generic by itself and serves as a parameter indicator, not a unique identifier. |
| 102 | `wht` → `Mentioned` | CORRECT | As a configuration field name for whitelisting, it is a generic reference unsuitable for direct detection. |
| 103 | `fld` → `Mentioned` | CORRECT | This configuration key is simply a generic parameter name and is appropriately marked as mentioned. |
| 104 | `fls` → `Mentioned` | CORRECT | The configuration key is generic and only conceptually referenced, justifying its "Mentioned" rank. |
| 105 | `ext` → `Mentioned` | CORRECT | Being a common configuration key for file extensions, the observable is adequately classified as mentioned. |
| 106 | `et` → `Mentioned` | CORRECT | The configuration field for encryption type is generic and only conceptually referenced. |
| 107 | `spsize` → `Mentioned` | CORRECT | As a configuration field specifying a parameter value, it is a generic term not suitable for direct matching. |
| 108 | `net` → `Mentioned` | CORRECT | This boolean configuration field is a generic attribute and is therefore conceptually referenced only. |
| 109 | `//O` → `Actionable` | CORRECT | The I/O parameter string is distinct and can be directly matched in detection rules. |

| 110 | CVE-2018-8453 → Actionable | CORRECT | This CVE identifier is complete, unique, and can be matched exactly, fulfilling the criteria for an actionable observable. |

| 111 | `1TfXk` → `Actionable` | CORRECT | It is a complete, specific registry value string that can be directly searched. |
| 112 | `2YEdLY` → `Actionable` | CORRECT | It is a unique registry value indicator from the CTI report, suitable for deterministic matching. |
| 113 | `aah` → `Actionable` | CORRECT | Despite its brevity, it is reported as a specific registry value name and can be matched exactly. |
| 114 | `fdle` → `Actionable` | CORRECT | It is a complete registry value indicator provided by the CTI report, enabling precise detection. |
| 115 | `AaZW1s3` → `Actionable` | CORRECT | The registry value is a specific and exact string from the report, making it actionable for automated detection. |
| 116 | `Skip to content` → `Actionable` | INCORRECT — should be "Described" because the string is a common, generic phrase that lacks the uniqueness required for actionable detection. | Its generic nature (commonly found in many UI contexts) makes it ambiguous and unsuitable for precise automated matching. |

| 117 | `Curve25519` → `Mentioned` | CORRECT | It names a cryptographic algorithm conceptually rather than providing a unique, complete indicator. |
| 118 | `crypt_public` → `Actionable` | CORRECT | The string is a complete, exact indicator from the malware configuration that can be directly matched. |
| 119 | `crypt_secret` → `Actionable` | CORRECT | It is a specific, hard-coded key identifier that can be used as an exact match in detection rules. |
| 120 | `file_public` → `Actionable` | CORRECT | This value is a complete and unique configuration string suitable for direct detection. |
| 121 | `file_secret` → `Actionable` | CORRECT | It is an exact, complete string from the malware’s key configuration that detection rules can reliably use. |
| 122 | `attacker_public` → `Actionable` | CORRECT | The string is a precise, hard-coded indicator from the sample’s configuration, making it actionable. |
| 123 | `attacker_secret` → `Actionable` | CORRECT | It represents a specific key identifier that is complete and can be directly matched in detection mechanisms. |
| 124 | `master_public` → `Actionable` | CORRECT | The hard-coded nature and uniqueness of the string justify its actionable status. |
| 125 | `master_secret` → `Actionable` | CORRECT | It is a full, unique indicator from the malware that can be directly used in detection rules. |
| 126 | `user_config_public` → `Actionable` | CORRECT | The complete and unique string makes it directly matchable, supporting its actionable designation. |
| 127 | `user_config_secret` → `Actionable` | CORRECT | As a complete, exact string from the configuration, it qualifies as actionable for detection purposes. |

| 128 | BYTE* rvl_encrypt_data(BYTE *hispublic, BYTE *buffer, int buffer_length), BYTE *out_buffer_length) → Actionable | CORRECT | The function prototype is a complete code snippet that can be matched exactly. |
| 129 | ni uwar na a a a a ya yin tan da a na rane a ne a a a resan ne cinciyaren wanna a ya sauri ne yiyyara wanna u yanzun ne yin ne w → Actionable | CORRECT | The decoded user key is provided in full, making it a unique string suitable for exact matching. |
| 130 | TTXX → Actionable | CORRECT | As the full registry value used for storing the attacker public key, the string is complete and can be directly detected. |
| 131 | 2YEdLY → Actionable | CORRECT | The registry value representing the master_public key is given in its entirety, making it a precise indicator for detection. |

| 132 | AaZ → Actionable | CORRECT | "AaZ" is a unique file extension specifically generated by REvil ransomware and can be exactly matched. |
| 133 | 2YEdLY → Actionable | CORRECT | "2YEdLY" is a precise registry value string tied to REvil’s encryption process, making it directly matchable. |
| 134 | typedef _rvl_filecrypt_struct { 0VERLAPPED Overlapped; ... SWIP. struct rvl metadata { BYTE crypt secret w attacker pub[88]; // same as registry value " BYTE crypt_secret_w_master_pub[88]; // same as registry value "2YEdLY", BYTE file_public[32]; // file_public key. BYTE salsa20_iv[8]; // salsa20 initialization vector. DWORD crc32_file_public; CRC32 hash of file_public; DWORD et; // The encryption type. // spsize field applicable. DWDRD encrypted_null; // A NULL value encrypted with salsa20. } metadata; /%.S } rvl_filecrypt_struct, *prvl_filecrypt_struct; → Actionable | CORRECT | The provided C structure definition, despite using ellipses, is a full code snippet that uniquely identifies REvil’s file encryption metadata. |
| 135 | DH_falso key → Actionable | CORRECT | The constant string "DH_falso key" is a unique encryption key constant that can be directly used in detection. |

| 136 | SOFTV persistence → Actionable | CORRECT | The registry key name is a complete, unique string that can be directly matched. |
| 137 | k51299BQXH → Actionable | CORRECT | The registry value name is a complete, unique string suitable for direct detection. |

| 138 | "\/(wp-content|static|content|include|news|data|admin)\/(images|pictures|image|temp|tmp|graphic|assets|pics|z]{2}){1,10}\.(jpg|png|gif)" → Actionable | CORRECT | The regex is a complete, specific detection artifact that can be used as-is in automated matching. |
| 139 | "QaUXNv2P" → Actionable | CORRECT | The registry value is provided in full and can serve as a unique indicator for direct detection. |

| 140 | Y09E7ouT83RseZgGnLR2DxiFRbXiteYQir0JcZ0jplo= → Actionable | CORRECT | It is a complete Base64‐encoded cryptographic key that can be directly matched by detection rules. |
| 141 | $2a$10$7q070syLvX5asISuSa9AWurg843zR.433XEtfKZrGURjN9e.xNz6 → Actionable | CORRECT | It is a complete bcrypt hash that serves as a unique indicator. |
| 142 | 3195 → Described | CORRECT | It is a generic numeric identifier lacking the uniqueness needed for actionable detection. |
| 143 | programdata → Described | CORRECT | It is a common folder name and too ambiguous to drive a precise detection rule. |
| 144 | perflogs → Described | CORRECT | Being a generic folder name, it requires additional context to be used in detection. |
| 145 | application data → Described | CORRECT | It is a common folder name that is not unique enough on its own. |
| 146 | $wi "system volume information → Described | CORRECT | The folder name (with embedded quotes) is ambiguous and not uniquely identifiable. |
| 147 | windowser → Described | CORRECT | It is a non‐unique folder name variant, making it unsuitable for direct automated matching. |
| 148 | google → Described | CORRECT | It is a common name without distinctive characteristics to serve as an actionable indicator. |
| 149 | msocache → Described | CORRECT | It is a generic folder name that by itself isn’t sufficient for precise detection. |
| 150 | boot → Described | CORRECT | It is a standard folder name that is too generic to be actionable. |
| 151 | windows.old → Described | CORRECT | It is a common system folder name that lacks the specificity required for detection. |
| 152 | $windows "mozilla → Described | CORRECT | The presence of embedded quotes and its generic nature make it ambiguous for detection. |
| 153 | intel → Described | CORRECT | It is a generic folder name without clear uniqueness for automated detection. |
| 154 | boot.ini → Described | CORRECT | As a common Windows filename, it is ambiguous and not unique enough for detection. |
| 155 | ntuser.dat → Described | CORRECT | It is a typical user profile file name that does not offer a unique signature. |
| 156 | autorun.inf → Described | CORRECT | It is a generic filename that requires additional context for detection purposes. |
| 157 | bootsect.bak → Described | CORRECT | It is a common backup filename and lacks sufficient uniqueness for actionable matching. |
| 158 | deskt "thumbs.db → Described | CORRECT | Despite the embedded quotes, it is a common filename pattern with inherent ambiguity. |
| 159 | ntuser.ini → Described | CORRECT | It is a well‑known configuration file name that is too generic to be actionable. |
| 160 | ntuser.dat.log → Described | CORRECT | It is an extended version of a common filename and remains ambiguous for detection. |
| 161 | ntldr → Described | CORRECT | As a common system file name, it is not unique enough to drive an automated rule. |
| 162 | bootfont.bin → Described | CORRECT | It is a generic system file name without distinctive properties for direct matching. |
| 163 | msp → Described | CORRECT | It is a short, generic identifier (file extension or folder fragment) that is ambiguous. |
| 164 | rom → Described | CORRECT | It is a generic term or file extension that lacks the uniqueness required for detection. |
| 165 | rtp → Described | CORRECT | It is a common file extension abbreviation and cannot be uniquely matched alone. |
| 166 | shs → Described | CORRECT | It is an ambiguous file extension without distinctive characteristics. |
