observable_value,artifact_details,data_source,classification,STIX_supported,proprietary_artifact,parser,notes,description,technique_num,description_id,deprecated,related_id,file name,url,Added by,,,,,,,,,
group count,Mentioned,ICS data,Server Information,No,Open/Standard Technology,,Number of groups configured or present on the server.,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload gathers server information that includes CLSID, server name, Program ID, OPC version, vendor information, running state, group count, and server bandwidth. This information helps indicate the role the server has in the control process. (Citation: ICS-CERT August 2018) (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0888,relationship--067932c3-0011-4ca2-9bbe-721c631e4e41,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
OPC,Mentioned,"ICS data, network logs",Industrial Communication Protocol,No,Open/Standard Technology,,"OPC is referenced generically as the protocol used, without additional specific details.","Using OPC, a component of [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) gathers any details about connected devices and sends them back to the C2 for the attackers to analyze. (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0802,relationship--8f76d408-be8a-478e-8a5a-aab1d1f96572,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
OPC communications,Mentioned,ICS data,Communication Protocol,No,Open/Standard Technology,,Generic reference to the communications method used by OPC-based systems.,The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload has caused multiple common OPC platforms to intermittently crash. This could cause a denial of service effect on applications reliant on OPC communications. (Citation: ICS-CERT August 2018),T0814,relationship--d90aeeb6-3686-483a-8403-6514ecfe1a50,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
OPC platforms,Mentioned,ICS data,Industrial Control System Platform,No,Open/Standard Technology,,General reference to common platforms that implement OPC standards.,The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload has caused multiple common OPC platforms to intermittently crash. This could cause a denial of service effect on applications reliant on OPC communications. (Citation: ICS-CERT August 2018),T0814,relationship--d90aeeb6-3686-483a-8403-6514ecfe1a50,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
OPC server information,Mentioned,ICS Data,OPC Server,No,Open/Standard Technology,,Generic server data (including tag names) that can provide details on the names and function of control devices.,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload has the capability of enumerating OPC tags, in addition to more generic OPC server information. The server data and tag names can provide information about the names and function of control devices. (Citation: ICS-CERT August 2018) (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0861,relationship--90d9c8e3-0250-4096-8d98-7ca1d324d654,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
OPC servers,Mentioned,network logs,OPC Server,No,Open/Standard Technology,,OPC (OLE for Process Control) servers commonly used in industrial control systems,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) ICS malware plugin relies on Windows networking (WNet) to discover all the servers, including OPC servers, that are reachable by the compromised machine over the network. (Citation: Julian Rrushi, Hassan Farhangi, Clay Howey, Kelly Carmichael, Joey Dabell December 2015)",T0846,relationship--3f76d408-be8a-478e-8a5a-aab1d1f96572,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
OPC tags,Mentioned,ICS Data,ICS Tag,No,Open/Standard Technology,,The payload enumerates these tags to reveal aspects of control devices.,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload has the capability of enumerating OPC tags, in addition to more generic OPC server information. The server data and tag names can provide information about the names and function of control devices. (Citation: ICS-CERT August 2018) (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0861,relationship--90d9c8e3-0250-4096-8d98-7ca1d324d654,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
OPC version,Mentioned,ICS data,Server Information,No,Open/Standard Technology,,Version information of the OPC server component.,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload gathers server information that includes CLSID, server name, Program ID, OPC version, vendor information, running state, group count, and server bandwidth. This information helps indicate the role the server has in the control process. (Citation: ICS-CERT August 2018) (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0888,relationship--067932c3-0011-4ca2-9bbe-721c631e4e41,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
Program ID,Mentioned,ICS data,Server Information,No,Open/Standard Technology,,Generic identifier for the server program.,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload gathers server information that includes CLSID, server name, Program ID, OPC version, vendor information, running state, group count, and server bandwidth. This information helps indicate the role the server has in the control process. (Citation: ICS-CERT August 2018) (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0888,relationship--067932c3-0011-4ca2-9bbe-721c631e4e41,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
running state,Mentioned,ICS data,Server Information,No,Open/Standard Technology,,Indicates whether or not the server is actively running.,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload gathers server information that includes CLSID, server name, Program ID, OPC version, vendor information, running state, group count, and server bandwidth. This information helps indicate the role the server has in the control process. (Citation: ICS-CERT August 2018) (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0888,relationship--067932c3-0011-4ca2-9bbe-721c631e4e41,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
server bandwidth,Mentioned,ICS data,Server Information,No,Open/Standard Technology,,Measures the bandwidth capacity of the server.,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload gathers server information that includes CLSID, server name, Program ID, OPC version, vendor information, running state, group count, and server bandwidth. This information helps indicate the role the server has in the control process. (Citation: ICS-CERT August 2018) (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0888,relationship--067932c3-0011-4ca2-9bbe-721c631e4e41,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
server name,Mentioned,ICS data,Server Information,No,Open/Standard Technology,,The name of the server that is gathered by the payload.,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload gathers server information that includes CLSID, server name, Program ID, OPC version, vendor information, running state, group count, and server bandwidth. This information helps indicate the role the server has in the control process. (Citation: ICS-CERT August 2018) (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0888,relationship--067932c3-0011-4ca2-9bbe-721c631e4e41,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
trojanized installer,Mentioned,email attachments,Malicious File,Full: File,Open/Standard Technology,,Generic reference to a installer file used to distribute the RAT,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) RAT is distributed through a trojanized installer attached to emails. (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0865,relationship--e0aee02c-b424-4781-be10-793d71594c31,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
trojanized installer attached to an email,Mentioned,email logs,Malicious File,Full: File,Open/Standard Technology,,"Describes a generic installer file that has been compromised and delivered via email, lacking unique identifiers.","Execution of [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) relies on a user opening a trojanized installer attached to an email. (Citation: Daavid Hentunen, Antti Tikkanen June 2014) (Citation: Kyle Wilhoit)",T0863,relationship--5bb313a8-8407-4ec1-a4b0-683ded7f3302,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
trojanized installers,Mentioned,network logs,File,Full: File,Open/Standard Technology,,Generic reference to compromised installer files planted on vendor sites,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) RAT is distributed through trojanized installers planted on compromised vendor sites. (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0862,relationship--6d822f86-5793-403a-b176-5d533f6b81b3,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
vendor information,Mentioned,ICS data,Server Information,No,Open/Standard Technology,,Details regarding the server's vendor.,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) payload gathers server information that includes CLSID, server name, Program ID, OPC version, vendor information, running state, group count, and server bandwidth. This information helps indicate the role the server has in the control process. (Citation: ICS-CERT August 2018) (Citation: Daavid Hentunen, Antti Tikkanen June 2014)",T0888,relationship--067932c3-0011-4ca2-9bbe-721c631e4e41,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
Windows networking (WNet),Mentioned,system logs,Operating System API,No,Proprietary-Documented Technology,,Windows networking component used by the malware for server discovery,"The [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) ICS malware plugin relies on Windows networking (WNet) to discover all the servers, including OPC servers, that are reachable by the compromised machine over the network. (Citation: Julian Rrushi, Hassan Farhangi, Clay Howey, Kelly Carmichael, Joey Dabell December 2015)",T0846,relationship--3f76d408-be8a-478e-8a5a-aab1d1f96572,FALSE,,Backdoor.Oldrea,https://attack.mitre.org/software/S0093,,,,,,,,,,
Adobe Flash installer,Mentioned,system logs,Software/Tool,Full: File,Proprietary-Documented Technology,,Malicious file masquerading as a legitimate Adobe Flash installer.,"[Bad Rabbit](https://attack.mitre.org/software/S0606) is disguised as an Adobe Flash installer. When the file is opened it starts locking the infected computer. (Citation: Orkhan Mamedov, Fedor Sinitsyn, Anton Ivanov October 2017)",T0863,relationship--edf73653-b2d7-422f-b433-b6a428ff12d4,FALSE,,Bad Rabbit,https://attack.mitre.org/software/S0606,,,,,,,,,,
Bad Rabbit,Described,network logs,Software/Tool,Full: Malware,Open/Standard Technology,,Malware referenced via MITRE ATT&CK (S0606) that infected IT networks and later industrial networks,"[Bad Rabbit](https://attack.mitre.org/software/S0606) initially infected IT networks, but by means of an exploit (particularly the SMBv1-targeting MS17-010 vulnerability) spread to industrial networks. (Citation: Joe Slowik April 2019)",T0866,relationship--058396ca-3af4-444b-b261-74485c47e68c,FALSE,,Bad Rabbit,https://attack.mitre.org/software/S0606,,,,,,,,,,
Bad Rabbit,Described,system logs,Software/Tool,Full: Malware,Open/Standard Technology,,Referenced via MITRE; specific malware affecting systems in transportation organizations.,"Several transportation organizations in Ukraine have suffered from being infected by [Bad Rabbit](https://attack.mitre.org/software/S0606), resulting in some computers becoming encrypted, according to media reports. (Citation: Marc-Etienne M.Lveill October 2017)",T0828,relationship--d7ea83fa-87c7-4d36-96d5-aee554504040,FALSE,,Bad Rabbit,https://attack.mitre.org/software/S0606,,,,,,,,,,
Bad Rabbit,Described,system logs,Software/Tool,Full: Malware,Open/Standard Technology,,Referenced via MITRE ATT&CK link (S0606).,"[Bad Rabbit](https://attack.mitre.org/software/S0606) is disguised as an Adobe Flash installer. When the file is opened it starts locking the infected computer. (Citation: Orkhan Mamedov, Fedor Sinitsyn, Anton Ivanov October 2017)",T0863,relationship--edf73653-b2d7-422f-b433-b6a428ff12d4,FALSE,,Bad Rabbit,https://attack.mitre.org/software/S0606,,,,,,,,,,
Bad Rabbit,Described,Endpoint logs,Malware,Full: Malware,Open/Standard Technology,,Referenced via MITRE ATT&CK link and noted for lateral movement.,[Bad Rabbit](https://attack.mitre.org/software/S0606) can move laterally through industrial networks by means of the SMB service. (Citation: Joe Slowik April 2019),T0867,relationship--ffc5bbce-8d9c-4276-9dc6-efed5c01af8b,FALSE,,Bad Rabbit,https://attack.mitre.org/software/S0606,,,,,,,,,,
Bad Rabbit ransomware,Described,network logs,Software/Tool,Full: Malware,Open/Standard Technology,,Identified by name and MITRE ATT&CK reference; refers to a ransomware family.,"[Bad Rabbit](https://attack.mitre.org/software/S0606) ransomware spreads through drive-by attacks where insecure websites are compromised. While the target is visiting a legitimate website, a malware dropper is being downloaded from the threat actors infrastructure. (Citation: Orkhan Mamedov, Fedor Sinitsyn, Anton Ivanov October 2017)",T0817,relationship--0c1fe5fc-3bdc-4d0e-94a0-6564f2ce4444,FALSE,,Bad Rabbit,https://attack.mitre.org/software/S0606,,,,,,,,,,
insecure websites,Mentioned,web server logs,Network Entity,No,Open/Standard Technology,,Refers generically to compromised websites used in the drive-by attack; lacks specific identifying details.,"[Bad Rabbit](https://attack.mitre.org/software/S0606) ransomware spreads through drive-by attacks where insecure websites are compromised. While the target is visiting a legitimate website, a malware dropper is being downloaded from the threat actors infrastructure. (Citation: Orkhan Mamedov, Fedor Sinitsyn, Anton Ivanov October 2017)",T0817,relationship--0c1fe5fc-3bdc-4d0e-94a0-6564f2ce4444,FALSE,,Bad Rabbit,https://attack.mitre.org/software/S0606,,,,,,,,,,
legitimate website,Mentioned,web server logs,Network Entity,No,Open/Standard Technology,,Generic reference to a normally functioning website that unwittingly hosts the malicious dropper download.,"[Bad Rabbit](https://attack.mitre.org/software/S0606) ransomware spreads through drive-by attacks where insecure websites are compromised. While the target is visiting a legitimate website, a malware dropper is being downloaded from the threat actors infrastructure. (Citation: Orkhan Mamedov, Fedor Sinitsyn, Anton Ivanov October 2017)",T0817,relationship--0c1fe5fc-3bdc-4d0e-94a0-6564f2ce4444,FALSE,,Bad Rabbit,https://attack.mitre.org/software/S0606,,,,,,,,,,
malware dropper,Mentioned,network logs,Software/Tool,Full: Malware,Open/Standard Technology,,Generic reference to a payload delivery mechanism downloaded during the attack.,"[Bad Rabbit](https://attack.mitre.org/software/S0606) ransomware spreads through drive-by attacks where insecure websites are compromised. While the target is visiting a legitimate website, a malware dropper is being downloaded from the threat actors infrastructure. (Citation: Orkhan Mamedov, Fedor Sinitsyn, Anton Ivanov October 2017)",T0817,relationship--0c1fe5fc-3bdc-4d0e-94a0-6564f2ce4444,FALSE,,Bad Rabbit,https://attack.mitre.org/software/S0606,,,,,,,,,,
MS17-010 vulnerability,Actionable-Atomic,vulnerability scanning tools,Vulnerability,Full: Vulnerability,Open/Standard Technology,,"Specifically targeting SMBv1, this vulnerability was exploited by Bad Rabbit to spread across networks","[Bad Rabbit](https://attack.mitre.org/software/S0606) initially infected IT networks, but by means of an exploit (particularly the SMBv1-targeting MS17-010 vulnerability) spread to industrial networks. (Citation: Joe Slowik April 2019)",T0866,relationship--058396ca-3af4-444b-b261-74485c47e68c,FALSE,,Bad Rabbit,https://attack.mitre.org/software/S0606,,,,,,,,,,
SMB service,Mentioned,Network logs,Network Service,No,Open/Standard Technology,"Wireshark, Zeek",Generic reference to the SMB network service used for lateral movement.,[Bad Rabbit](https://attack.mitre.org/software/S0606) can move laterally through industrial networks by means of the SMB service. (Citation: Joe Slowik April 2019),T0867,relationship--ffc5bbce-8d9c-4276-9dc6-efed5c01af8b,FALSE,,Bad Rabbit,https://attack.mitre.org/software/S0606,,,,,,,,,,
BlackEnergy,Described,"threat intelligence feeds, endpoint logs",Software/Tool,Full: Malware,Open/Standard Technology,,Referenced with a MITRE ATT&CK link (S0089) indicating a specific malware tool.,[BlackEnergy](https://attack.mitre.org/software/S0089) uses HTTP POST request to contact external command and control servers. (Citation: Booz Allen Hamilton),T0869,relationship--3a7d1db3-9383-4171-8938-382e9b0375c6,FALSE,,BlackEnergy,https://attack.mitre.org/software/S0089,,,,,,,,,,
BlackEnergy,Described,network logs,Software/Tool,Full: Malware,Open/Standard Technology,,Referenced with a MITRE ATT&CK link; no unique file hash or signature provided.,[BlackEnergy](https://attack.mitre.org/software/S0089) targeted energy sector organizations in a wide reaching email spearphishing campaign. Adversaries utilized malicious Microsoft Word documents attachments. (Citation: Booz Allen Hamilton),T0865,relationship--d9165ecb-bc10-4189-a7e4-057bdf05bf3f,FALSE,,BlackEnergy,https://attack.mitre.org/software/S0089,,,,,,,,,,
BlackEnergy,Described,"system logs, endpoint detection logs",Software/Tool,Full: Malware,Open/Standard Technology,,Referenced with MITRE ATT&CK ID S0089,"[BlackEnergy](https://attack.mitre.org/software/S0089) utilizes valid user and administrator credentials, in addition to creating new administrator accounts to maintain presence. (Citation: Booz Allen Hamilton)",T0859,relationship--ee2fdebd-1587-4e53-a7d7-c15fcc88879d,FALSE,,BlackEnergy,https://attack.mitre.org/software/S0089,,,,,,,,,,
external command and control servers,Mentioned,network logs,Network Entity,No,Open/Standard Technology,,Vaguely referenced servers without specific identifiers such as IP addresses or domain names.,[BlackEnergy](https://attack.mitre.org/software/S0089) uses HTTP POST request to contact external command and control servers. (Citation: Booz Allen Hamilton),T0869,relationship--3a7d1db3-9383-4171-8938-382e9b0375c6,FALSE,,BlackEnergy,https://attack.mitre.org/software/S0089,,,,,,,,,,
HTTP POST request,Mentioned,network logs,HTTP Request,Full: network-traffic,Open/Standard Technology,,Generic HTTP method used by malware for command and control communication.,[BlackEnergy](https://attack.mitre.org/software/S0089) uses HTTP POST request to contact external command and control servers. (Citation: Booz Allen Hamilton),T0869,relationship--3a7d1db3-9383-4171-8938-382e9b0375c6,FALSE,,BlackEnergy,https://attack.mitre.org/software/S0089,,,,,,,,,,
Malicious Microsoft Word document attachments,Mentioned,Email logs,Document,Full: File,Proprietary-Documented Technology,oletools,Generic reference to Microsoft Word files used as email attachment payloads.,[BlackEnergy](https://attack.mitre.org/software/S0089) targeted energy sector organizations in a wide reaching email spearphishing campaign. Adversaries utilized malicious Microsoft Word documents attachments. (Citation: Booz Allen Hamilton),T0865,relationship--d9165ecb-bc10-4189-a7e4-057bdf05bf3f,FALSE,,BlackEnergy,https://attack.mitre.org/software/S0089,,,,,,,,,,
new administrator accounts,Mentioned,"account management logs, directory service logs",User Account,Full: User Account,Open/Standard Technology,,Accounts created to maintain presence; no specific account details provided,"[BlackEnergy](https://attack.mitre.org/software/S0089) utilizes valid user and administrator credentials, in addition to creating new administrator accounts to maintain presence. (Citation: Booz Allen Hamilton)",T0859,relationship--ee2fdebd-1587-4e53-a7d7-c15fcc88879d,FALSE,,BlackEnergy,https://attack.mitre.org/software/S0089,,,,,,,,,,
valid user and administrator credentials,Mentioned,"authentication logs, system logs",Authentication Credential,Full: User Account,Open/Standard Technology,,Generic reference; no specific usernames or passwords provided,"[BlackEnergy](https://attack.mitre.org/software/S0089) utilizes valid user and administrator credentials, in addition to creating new administrator accounts to maintain presence. (Citation: Booz Allen Hamilton)",T0859,relationship--ee2fdebd-1587-4e53-a7d7-c15fcc88879d,FALSE,,BlackEnergy,https://attack.mitre.org/software/S0089,,,,,,,,,,
Conficker,Described,security logs,Software/Tool,Full: Malware,Open/Standard Technology,,"This malware is referenced via its MITRE ATT&CK link, which provides a contextual reference without including indicators such as hash values or filenames.","A [Conficker](https://attack.mitre.org/software/S0608) infection at a nuclear power plant forced the facility to shutdown and go through security procedures involved with such events, with its staff scanning computer systems and going through all the regular checks and motions before putting the plant back into production. (Citation: Catalin Cimpanu April 2016)",T0828,relationship--51f9963c-c041-4bec-b482-5fda2fb5bca4,FALSE,,Conficker,https://attack.mitre.org/software/S0608,,,,,,,,,,
Conficker,Described,system logs,Software/Tool,Full: Malware,Open/Standard Technology,,A well-known malware referenced via the MITRE ATT&CK page (S0608),"[Conficker](https://attack.mitre.org/software/S0608) exploits Windows drive shares. Once it has infected a computer, [Conficker](https://attack.mitre.org/software/S0608) automatically copies itself to all visible open drive shares on other computers inside the network. (Citation: Symantec June 2015) Nuclear power plant officials suspect someone brought in [Conficker](https://attack.mitre.org/software/S0608) by accident on a USB thumb drive, either from home or computers found in the power plant's facility. (Citation: Catalin Cimpanu April 2016)",T0847,relationship--71422483-33e4-4131-a4ec-40322d91d8a0,FALSE,,Conficker,https://attack.mitre.org/software/S0608,,,,,,,,,,
Conficker,Described,system logs,Software/Tool,Full: Malware,Open/Standard Technology,,Malware infection is referenced with a MITRE ATT&CK link providing specific context.,A [Conficker](https://attack.mitre.org/software/S0608) infection at a nuclear power plant forced the facility to temporarily shutdown. (Citation: Catalin Cimpanu April 2016),T0826,relationship--990f944f-190d-456d-b194-f5ecb17a0868,FALSE,,Conficker,https://attack.mitre.org/software/S0608,,,,,,,,,,
nuclear power plant,Mentioned,ICS data,Facility,No,Open/Standard Technology,,Physical critical infrastructure is mentioned without detailed identifiers.,A [Conficker](https://attack.mitre.org/software/S0608) infection at a nuclear power plant forced the facility to temporarily shutdown. (Citation: Catalin Cimpanu April 2016),T0826,relationship--990f944f-190d-456d-b194-f5ecb17a0868,FALSE,,Conficker,https://attack.mitre.org/software/S0608,,,,,,,,,,
USB thumb drive,Mentioned,system logs,Removable Media,No,Open/Standard Technology,,Generic reference to a USB device suspected of introducing the malware,"[Conficker](https://attack.mitre.org/software/S0608) exploits Windows drive shares. Once it has infected a computer, [Conficker](https://attack.mitre.org/software/S0608) automatically copies itself to all visible open drive shares on other computers inside the network. (Citation: Symantec June 2015) Nuclear power plant officials suspect someone brought in [Conficker](https://attack.mitre.org/software/S0608) by accident on a USB thumb drive, either from home or computers found in the power plant's facility. (Citation: Catalin Cimpanu April 2016)",T0847,relationship--71422483-33e4-4131-a4ec-40322d91d8a0,FALSE,,Conficker,https://attack.mitre.org/software/S0608,,,,,,,,,,
Windows drive shares,Mentioned,network logs,Network Entity,No,Open/Standard Technology,,Generic reference to shared drives on Windows systems used to propagate malware,"[Conficker](https://attack.mitre.org/software/S0608) exploits Windows drive shares. Once it has infected a computer, [Conficker](https://attack.mitre.org/software/S0608) automatically copies itself to all visible open drive shares on other computers inside the network. (Citation: Symantec June 2015) Nuclear power plant officials suspect someone brought in [Conficker](https://attack.mitre.org/software/S0608) by accident on a USB thumb drive, either from home or computers found in the power plant's facility. (Citation: Catalin Cimpanu April 2016)",T0847,relationship--71422483-33e4-4131-a4ec-40322d91d8a0,FALSE,,Conficker,https://attack.mitre.org/software/S0608,,,,,,,,,,
Duqu,Described,host-based logs,Software/Tool,No,Proprietary-Undocumented Technology,,Referenced by name and MITRE ATT&CK link (S0038).,"[Duqu](https://attack.mitre.org/software/S0038) downloads additional modules for the collection of data from local systems. The modules are named: infostealer 1, infostealer 2 and reconnaissance. (Citation: Symantec)",T0893,relationship--172e0537-7a9c-4610-9b07-32a841f0bd8d,FALSE,,Duqu,https://attack.mitre.org/software/S0038,,,,,,,,,,
